"95%","80%","50%","20%","5%"
1,3,3,7,9,10
2,6,7,12,16,19
3,9,13,17,22,27
4,14,18,23,29,33
5,20,24,29,35,41
6,24,29,35,41,47
7,29,35,41,47,54
8,34,40,47,54,61
9,40,46,53,60,67
10,44,51,58,66,74
11,50,57,64,73,81
12,55,62,70,79,88
13,60,67,76,85,94
14,65,73,82,91,101
15,70,78,88,97,107
16,76,84,94,103,113
17,81,89,99,109,120
18,86,95,105,116,126
19,92,101,111,122,133
20,97,106,117,128,140
21,102,112,122,134,145
22,108,118,129,141,152
23,113,124,135,146,158
24,119,129,140,152,164
25,124,134,146,158,171
